municipio,ano_mes,passageiros
ARMAÇÃO DOS BÚZIOS,2023-05,0.0
ARMAÇÃO DOS BÚZIOS,2025-12,0.0
BAGÉ,2021-08,57.0
BAGÉ,2021-09,56.0
BAGÉ,2021-10,124.0
BAGÉ,2021-11,115.0
BAGÉ,2021-12,152.0
BAGÉ,2022-01,132.0
BAGÉ,2022-02,137.0
BAGÉ,2022-03,117.0
BAGÉ,2022-04,93.0
BAGÉ,2022-05,95.0
BAGÉ,2022-06,52.0
BAGÉ,2022-07,80.0
BAGÉ,2022-08,112.0
BAGÉ,2022-09,49.0
BAGÉ,2022-10,14.0
BAGÉ,2022-11,5.0
BAGÉ,2022-12,8.0
BAGÉ,2023-01,10.0
BAGÉ,2023-02,14.0
BAGÉ,2023-03,50.0
BAGÉ,2023-04,61.0
BAGÉ,2023-05,27.0
BAGÉ,2023-06,23.0
BAGÉ,2023-07,45.0
BAGÉ,2023-08,15.0
BAGÉ,2023-09,15.0
BAGÉ,2023-10,13.0
BAGÉ,2023-11,28.0
BAGÉ,2023-12,39.0
BAGÉ,2024-01,13.0
BAGÉ,2024-02,23.0
BAGÉ,2024-03,23.0
BAGÉ,2024-04,27.0
BARCELOS,2022-05,56.0
BARCELOS,2022-06,42.0
BARCELOS,2022-07,72.0
BARCELOS,2022-08,72.0
BARCELOS,2022-09,37.0
BARCELOS,2022-10,39.0
BARCELOS,2022-11,16.0
BARCELOS,2022-12,32.0
BARCELOS,2023-01,26.0
BARCELOS,2023-02,22.0
BARCELOS,2023-03,26.0
BARCELOS,2023-04,10.0
BARCELOS,2023-05,28.0
BARCELOS,2023-06,6.0
BARCELOS,2023-09,64.0
BARCELOS,2023-10,107.0
BARCELOS,2023-11,143.0
BARCELOS,2023-12,103.0
BARCELOS,2024-01,8.0
BARCELOS,2024-02,11.0
BARCELOS,2024-03,9.0
BARCELOS,2024-04,18.0
BARCELOS,2024-05,22.0
BARCELOS,2024-06,7.0
BARCELOS,2025-09,44.0
BARCELOS,2025-10,50.0
BARCELOS,2025-11,85.0
BARCELOS,2025-12,38.0
BARRA DO CORDA,2025-02,0.0
BARRA DO CORDA,2025-04,0.0
BARRA DO GARÇAS,2021-01,166.0
BARRA DO GARÇAS,2021-02,167.0
BARRA DO GARÇAS,2021-03,92.0
BARRA DO GARÇAS,2021-04,82.0
BARRA DO GARÇAS,2021-05,79.0
BARRA DO GARÇAS,2021-06,57.0
BARRA DO GARÇAS,2021-07,77.0
BARRA DO GARÇAS,2021-08,103.0
BARRA DO GARÇAS,2021-09,103.0
BARRA DO GARÇAS,2021-10,144.0
BARRA DO GARÇAS,2021-11,140.0
BARRA DO GARÇAS,2021-12,121.0
BARRA DO GARÇAS,2022-01,80.0
